about : 486次
行为主义者的看法是，如果一个儿童在有许多刺激物的环境里成长，而这些刺激物能够发展其作出适当反应的能力，那么，这个儿童将会有更高的智力发展。 : 1次
在美国，黑人在标准化智力测试中的成绩常常低于白人。 : 1次
相反，行为主义者认为，成绩的差异是由于黑人往往被剥夺了白人在教育及其它环境方面所享有的许多有利条件。 : 1次
1991年全国硕士研究生入学统一考试英语试题 : 1次
left; : 1次
frightened, : 1次
exams : 1次
semester. : 1次
tedious : 1次
bike, : 1次
watches : 1次
typhoon, : 1次
kilometers : 1次
anna : 1次
policemen : 1次
alarm. : 1次
warmly, : 1次
monstrous : 1次
robber’s : 1次
disguise. : 1次
hardships : 1次
geologist. : 1次
ach : 1次
l : 1次
tidal : 1次
once-proud : 1次
disappearing, : 1次
honesty, : 1次
kindness, : 1次
refuse, : 1次
policeman : 1次
guilt, : 1次
embarrassment. : 1次
fortunately : 1次
proclaim: : 1次
tolerated : 1次
done!” : 1次
suburbs, : 1次
loosening. : 1次
robber : 1次
property; : 1次
wants, : 1次
enrage : 1次
break-down : 1次
committed, : 1次
victim. : 1次
reversal, : 1次
victimized: : 1次
upbringing, : 1次
guidance, : 1次
criminal, : 1次
partly, : 1次
accountability, : 1次
desperately : 1次
commits : 1次
prevail : 1次
crime, : 1次
self-discipline : 1次
criminals : 1次
lacks : 1次
adulthood, : 1次
universally, : 1次
ceremonies. : 1次
sequence, : 1次
twelfth : 1次
twelve-year-old : 1次
fare : 1次
airplane, : 1次
basically, : 1次
license; : 1次
schools; : 1次
rights; : 1次
soldier, : 1次
permission. : 1次
obtains : 1次
liquor, : 1次
contracts, : 1次
attained. : 1次
adolescence. : 1次
graduations : 1次
becomes, : 1次
combined. : 1次
darnes : 1次
built. : 1次
photosynthesis, : 1次
chlorophyll : 1次
(叶绿素) : 1次
sugars, : 1次
openings, : 1次
enters. : 1次
leaf, : 1次
(3 : 1次
air) : 1次
saturation : 1次
(at : 1次
80f, : 1次
186 : 1次
air), : 1次
intake. : 1次
intake : 1次
concentrations : 1次
gases. : 1次
enters : 1次
synthesized : 1次
carbohydrates : 1次
(碳水化合物). : 1次
photosynthesis : 1次
utilizes : 1次
saturated. : 1次
synthesized. : 1次
expand, : 1次
commentators : 1次
technical. : 1次
talking. : 1次
hears. : 1次
viewer. : 1次
screen. : 1次
__58__ : 1次
silence : 1次
vegetation : 1次
educationalists : 1次
trees. : 1次
traditional, : 1次
high-paid : 1次
creasing : 1次
quantities, : 1次
friday, : 1次
tomorrow. : 1次
enjoys : 1次
announced, : 1次
base. : 1次
wells : 1次
plentiful : 1次
cautiously, : 1次
birth-rate : 1次
opens. : 1次
2001? : 1次
seventy : 1次
mouths. : 1次
pinch : 1次
high-energy : 1次
yields. : 1次
200l : 1次
food-exporting : 1次
exports, : 1次
belt-tightening : 1次
variety, : 1次
flavouring : 1次
additives. : 1次
“unnatural : 1次
food”. : 1次
country? : 1次
attractions : 1次
1991年参考答案 : 1次
except/but : 1次
highly-paid : 1次
石油供应可能会随时中断；不管怎样，以目前这种消费速度，只需30年左右，所有的油井都会枯竭。 : 1次
必须找到新的能源，这需要时间；而过去我们感觉到的那种能源价廉而充足的情况将不可能再出现了。 : 1次
食品供应的增加将赶不上人口的增长，这就意味着我们在粮食的生产和购销方面正陷入危机。 : 1次
这种困境将是确定无疑的，因为能源的匮乏使农业无法以高能量消耗这种美国耕种方式继续下去了，而这种耕种方式使投入少数农民就可获得高产成为可能。 : 1次
除非人类终于意识到要把人口减少到这样的程度：使地球能为所有人提供足够的饮食，否则人们将不得不接受更多的“人造食品”。 : 1次
1992年全国硕士研究生入学统一考试英语试题 : 1次
“free-style” : 1次
lend : 1次
him; : 1次
shipping : 1次
smoothly. : 1次
carey : 1次
sister : 1次
9:30. : 1次
californians : 1次
long-awaited : 1次
hubble : 1次
telescope, : 1次
ice, : 1次
balloon : 1次
drifted : 1次
south. : 1次
freeing : 1次
entrusted : 1次
misprint? : 1次
dwell : 1次
daylight : 1次
highway : 1次
risen. : 1次
waiting, : 1次
deliveries. : 1次
election, : 1次
stressful : 1次
operative : 1次
cinema : 1次
circus : 1次
tigers, : 1次
tamed, : 1次
trainer. : 1次
explorer, : 1次
tropical : 1次
jams, : 1次
horrible. : 1次
nicest : 1次
monsters : 1次
tank, : 1次
altogether. : 1次
road-hog, : 1次
‘be : 1次
drivers’ : 1次
manners, : 1次
cool-headed : 1次
good-tempered : 1次
revenge : 1次
uncivilized : 1次
relieving : 1次
motoring. : 1次
acknowledgements : 1次
hazard : 1次
traffic, : 1次
anyway; : 1次
zebra : 1次
oncoming : 1次
ladies : 1次
amazes : 1次
highways : 1次
grannies. : 1次
veteran : 1次
faultless, : 1次
blockages : 1次
temper. : 1次
subtler : 1次
boatmanship. : 1次
give-and-take : 1次
heart. : 1次
road-hog... : 1次
rule.” : 1次
unjust : 1次
“good : 1次
sense,” : 1次
explosion, : 1次
sacrifice : 1次
roof : 1次
escaping. : 1次
expert’s : 1次
prediction, : 1次
3℃ : 1次
warmer : 1次
2050 : 1次
melt, : 1次
food-growing : 1次
zones. : 1次
thicker : 1次
antarctic, : 1次
burning : 1次
fuels. : 1次
warms : 1次
burnt : 1次
weather? : 1次
“cold” : 1次
spots) : 1次
rotates, : 1次
27.5 : 1次
hotter : 1次
“colder” : 1次
term: : 1次
downward. : 1次
(惯性) : 1次
serving : 1次
counter-balance : 1次
heat. : 1次
leeching : 1次
melting : 1次
models, : 1次
cooler : 1次
correct, : 1次
true: : 1次
hatred. : 1次
brotherhood. : 1次
contests. : 1次
second-place : 1次
(曲棍球) : 1次
final. : 1次
noisy : 1次
match, : 1次
disallowed : 1次
opponents’ : 1次
unfair. : 1次
hockey. : 1次
finished.” : 1次
disturbance. : 1次
won, : 1次
play. : 1次
popped : 1次
basket. : 1次
medals. : 1次
non-national : 1次
teams, : 1次
patriotism. : 1次
hatred : 1次
saying, : 1次
“... : 1次
finished”? : 1次
federation. : 1次
hesitant : 1次
rejecting : 1次
sportsmen : 1次
obedient : 1次
competitiveness : 1次
discourages : 1次
shuttle. : 1次
reusable : 1次
rockets : 1次
65, : 1次
000 : 1次
pounds, : 1次
hardware. : 1次
“sputnik” : 1次
(artificial : 1次
satellite) : 1次
vocabulary. : 1次
rocket : 1次
lands : 1次
airplane. : 1次
__57__, : 1次
__58__, : 1次
shuttle, : 1次
spaceship, : 1次
powered : 1次
unimagined : 1次
unsettled : 1次
uncovered : 1次
unsolved : 1次
thackeray : 1次
carefully. : 1次
underdeveloped : 1次
sound, : 1次
depend. : 1次
blows : 1次
assumptive : 1次
classify : 1次
readily, : 1次
distinctions, : 1次
logically, : 1次
symbols : 1次
learning, : 1次
adjustment, : 1次
endurance, : 1次
criticizing : 1次
thermometer : 1次
velocity. : 1次
‘valid’ : 1次
‘fair’ : 1次
comparison. : 1次
factors: : 1次
reasonable, : 1次
lies, : 1次
prediction. : 1次
marks : 1次
test; : 1次
‘general : 1次
intelligence’. : 1次
possessed. : 1次
situation: : 1次
1992年参考答案 : 1次
thackery’s : 1次
人们对智力这个词所指的不同表现意见比较一致，而对这些表现如何解释或分类则有不同的看法。 : 1次
批评智力测试不反映上述情况，犹如批评温度计不能测风速一样。 : 1次
既然对智力的评估是比较而言的，那么我们必须确保，在对我们的对象进行比较时，我们所用的尺度能提供“有效的”或“公平的”比较。 : 1次
如果要从智力方面进行任何比较的话，那么对所有被比较者来说，前两个因素必须是一样的。 : 1次
总的来说，得出这种结论是有一定程度把握的，但是必须具备两个条件：能够假定这个孩子对测试的态度和与他比较的另一个孩子的态度相同；他也没有因为缺乏别的孩子所具有的有关知识而受影响。 : 1次
generation’s : 1次
intrude : 1次
upon. : 1次
glittering : 1次
disco, : 1次
rock-and-roll : 1次
evenings : 1次
acts, : 1次
thirdly, : 1次
another’s : 1次
help, : 1次
provoking : 1次
bitterness. : 1次
parent’s : 1次
self-centered. : 1次
1993年全国硕士研究生入学统一考试英语试题 : 1次
files : 1次
twenty-five : 1次
audon : 1次
president. : 1次
listened : 1次
followers : 1次
escapes : 1次
lee’s : 1次
contexts. : 1次
fights : 1次
snowstorm, : 1次
details. : 1次
swinging : 1次
vibrating : 1次
magnitude. : 1次
perceivable : 1次
hard; : 1次
trip. : 1次
psychoanalyst : 1次
sigmund : 1次
freud, : 1次
accomplishment : 1次
nedra’s : 1次
depths : 1次
illiteracy : 1次
contacted : 1次
generalized : 1次
mature. : 1次
rejects : 1次
drink. : 1次
mitchell : 1次
small-town : 1次
winter, : 1次
inconvenient : 1次
furnace : 1次
dawn. : 1次
basic. : 1次
windmills : 1次
rarity : 1次
invalidity : 1次
damaged? : 1次
thirteenth : 1次
tongue, : 1次
mothering. : 1次
mothering, : 1次
especially, : 1次
frederick. : 1次
infant, : 1次
neglected, : 1次
acquiring : 1次
passed. : 1次
iq. : 1次
vowel-like : 1次
sounds; : 1次
commands; : 1次
toy-bear : 1次
“toy-bear.” : 1次
analyze, : 1次
recombine : 1次
induced, : 1次
babbling : 1次
(咿呀学语), : 1次
responds : 1次
dulls : 1次
signals. : 1次
non-verbal : 1次
ii’s : 1次
inadequately : 1次
exceptionally : 1次
animal’s : 1次
selective. : 1次
stages. : 1次
starts : 1次
(官僚主义的) : 1次
machinery. : 1次
well-ventilated : 1次
piped : 1次
“human-relations” : 1次
experts; : 1次
powerless, : 1次
blue- : 1次
white-collar : 1次
puppets : 1次
anxious, : 1次
intellectually : 1次
subordinates. : 1次
insecure : 1次
promoted : 1次
self-respect. : 1次
submissiveness : 1次
independence. : 1次
superiors, : 1次
sociability, : 1次
along, : 1次
fellow-competitor : 1次
unhappiness : 1次
preindustrial : 1次
nineteenth-century : 1次
“free : 1次
enterprise” : 1次
capitalism? : 1次
outgrown. : 1次
bureaucratically : 1次
arrangements. : 1次
machinery” : 1次
render : 1次
individuality : 1次
fellow-competitors : 1次
summarized : 1次
him: : 1次
secret, : 1次
(垄断) : 1次
publishes : 1次
terminates. : 1次
lifespan : 1次
georges : 1次
valensi; : 1次
1939 : 1次
circuitry : 1次
patent’s : 1次
invention. : 1次
terminated, : 1次
shelves : 1次
re-patent. : 1次
violation : 1次
inventor’s : 1次
plagiarize : 1次
patent. : 1次
invalidates : 1次
print. : 1次
presumptions : 1次
“new” : 1次
hills. : 1次
dedication, : 1次
magnetic : 1次
1886. : 1次
originate : 1次
volkswagen : 1次
1904 : 1次
rear. : 1次
re-patented : 1次
holder : 1次
valensi’s : 1次
“plagiarize” : 1次
“________.” : 1次
recent. : 1次
walls. : 1次
indoors, : 1次
bedroom : 1次
designer’s : 1次
__55__. : 1次
sound-shaping : 1次
entries : 1次
exits : 1次
beautifully : 1次
__58__. : 1次
space, : 1次
__59__. : 1次
coordinate : 1次
shapes, : 1次
floor. : 1次
built-in : 1次
comprised : 1次
amused : 1次
ornamented : 1次
determinations : 1次
“where” : 1次
[●] : 1次
enriching : 1次
brilliant : 1次
whatsoever : 1次
beethoven, : 1次
musician, : 1次
symphonies : 1次
jankin : 1次
regretted : 1次
mistake, : 1次
fault. : 1次
computerization, : 1次
editorials. : 1次
debts : 1次
mind; : 1次
baker : 1次
butcher : 1次
scales, : 1次
graded : 1次
weights. : 1次
working; : 1次
finer : 1次
former. : 1次
induction : 1次
(归纳法) : 1次
deduction, : 1次
operations, : 1次
extract : 1次
these, : 1次
processes, : 1次
constituted : 1次
men; : 1次
yourselves : 1次
motiere’s : 1次
unbounded : 1次
(散文) : 1次
comfort, : 1次
yourselves, : 1次
inductive : 1次
deductive : 1次
reasoning, : 1次
differing : 1次
tracing : 1次
“today : 1次
screen.” : 1次
1993年参考答案 : 1次
educationally : 1次
科学研究的方法不过是人类思维活动的必要表达方式，也就是对一切现象进行思索并给以精确而严谨解释的表达方式。 : 1次
这并不是说面包师或卖肉者所用的磅秤和化学家所用的天平在构造原理或工作方式上存在差别，而是说与前者相比，后者是一种更精密得多的装置，因而在计量上必然更准确得多。 : 1次
你们都多次听说过，科学家是用归纳法和演绎法工作的，他们用这些方法，在某种意义上说，力求从自然界找出某些自然规律，然后他们根据这些规律，用自己的某种非同一般的本领，建立起他们的理论。 : 1次
许多人以为，普通人的思维活动根本无法与科学家的思维过程相比，认为这些思维过程必须经过某种专门训练才能掌握。 : 1次
在座的诸位中，大概不会有人一整天都没有机会进行一连串复杂的思考活动，这些思考活动与科学家在探索自然现象原因时所经历的思考活动，尽管复杂程度不同，但在类型上是完全一样的。 : 1次
1994年全国硕士研究生入学统一考试英语试题 : 1次
b), : 1次
london, : 1次
appreciated : 1次
stomach, : 1次
persisted : 1次
jean : 1次
wagner’s : 1次
enduring : 1次
afro-american : 1次
worldly, : 1次
calculations : 1次
finished. : 1次
labour. : 1次
frost : 1次
tonight, : 1次
jim’s : 1次
safely. : 1次
warmed : 1次
20,000 : 1次
neighbours : 1次
1500 : 1次
astronomer’s : 1次
assistant. : 1次
[b]; : 1次
[c],the : 1次
moon’s : 1次
one-sixth : 1次
surface. : 1次
bunsen : 1次
burner : 1次
bunsen, : 1次
traveled, : 1次
thoroughness, : 1次
weeds : 1次
grass : 1次
yard : 1次
painter : 1次
keynes. : 1次
disregarded : 1次
irritated : 1次
intervened : 1次
craig : 1次
x-rays : 1次
burns, : 1次
dim : 1次
advised, : 1次
researching : 1次
into. : 1次
air-pollution : 1次
damage, : 1次
walk. : 1次
typing, : 1次
helen : 1次
stopping : 1次
smooth. : 1次
successes : 1次
endeavours : 1次
fastened : 1次
latitude : 1次
participation. : 1次
galopagos : 1次
diversion : 1次
smallest : 1次
__43__ : 1次
__44__ : 1次
__45__ : 1次
comprehension; : 1次
transmission-reception : 1次
__46__, : 1次
destroys : 1次
stir : 1次
preliminarily : 1次
private-enterprise, : 1次
profits, : 1次
businessmen; : 1次
motive, : 1次
pressures, : 1次
producers. : 1次
seller-producers. : 1次
demand, : 1次
cost, : 1次
seller-producers, : 1次
(private : 1次
property), : 1次
permitted : 1次
embraces : 1次
incomes” : 1次
mechanized : 1次
bank-issued : 1次
card. : 1次
stores, : 1次
automatically, : 1次
deposit : 1次
“cashless : 1次
registers : 1次
what, : 1次
when, : 1次
whom. : 1次
moving. : 1次
reorder : 1次
suppliers : 1次
busiest : 1次
assignments : 1次
promotional : 1次
campaigns. : 1次
relied : 1次
computer-analyzed : 1次
drop. : 1次
enterprises, : 1次
theaters : 1次
publishers, : 1次
electric : 1次
utilities : 1次
milk : 1次
processors, : 1次
storekeeper : 1次
“ring : 1次
sales” : 1次
“________”. : 1次
differences. : 1次
captures : 1次
strengths, : 1次
weaknesses, : 1次
prejudices, : 1次
citizens, : 1次
equal.” : 1次
denote : 1次
arise,” : 1次
microbiologist : 1次
weinberg, : 1次
“but,” : 1次
cautions, : 1次
causes, : 1次
pasteur, : 1次
available.” : 1次
910,000 : 1次
estimates, : 1次
cancers, : 1次
discouraging : 1次
pancreas. : 1次
existence, : 1次
easy. : 1次
oncogenes, : 1次
cells. : 1次
oncogene, : 1次
cell, : 1次
cancerous. : 1次
mysterious, : 1次
cancers. : 1次
“changes : 1次
process,” : 1次
oncologist : 1次
hayward. : 1次
eliminated; : 1次
rays.” : 1次
distant, : 1次
brighter. : 1次
“first, : 1次
counteract : 1次
action.” : 1次
pasteur : 1次
curing : 1次
cured : 1次
conquered : 1次
won’ : 1次
unharmful : 1次
“dormant” : 1次
ever-present : 1次
minds” : 1次
blinding : 1次
fleming : 1次
legend : 1次
cheese : 1次
antibacterial : 1次
laborious : 1次
soccer; : 1次
score. : 1次
practicable : 1次
otherwise. : 1次
abstractions, : 1次
possibilities. : 1次
realization : 1次
done,” : 1次
flesch, : 1次
authority. : 1次
garbage : 1次
suitcases : 1次
wheels : 1次
convenient: : 1次
before?” : 1次
appears. : 1次
drummer. : 1次
experimentation. : 1次
distinguishes : 1次
non-innovators? : 1次
possess. : 1次
strengthens : 1次
flesch’s : 1次
“march : 1次
drummer” : 1次
passage) : 1次
horizons : 1次
short,” : 1次
innumerable : 1次
directions.” : 1次
hails : 1次
masters : 1次
galileo, : 1次
newton, : 1次
maxwell, : 1次
einstein, : 1次
from, : 1次
centerpiece : 1次
technology-yes, : 1次
genius-no : 1次
ptolemy, : 1次
astronomer : 1次
sky : 1次
heavenly : 1次
motions. : 1次
1609 : 1次
planets : 1次
eyeglasses. : 1次
versa : 1次
friend.” : 1次
1994年参考答案 : 1次
或 : 1次
(=if... : 1次
删去 : 1次
或将 : 1次
改为 : 1次
他们(新学派科学家们)说，科学的发展与其说源于天才伟人的真知灼识，不如说源于改进了的技术和工具等等更为普通的东西。 : 1次
新学派的一位领袖人物坚持说：“简而言之，我们所称谓的科学革命，主要是指一系列器具的改进、发明和使用，这些改进、发明和使用使科学发展的范围无所不及。” : 1次
工具和技术本身作为根本性创新的源泉多年来在很大程度上被科学史学家和科学思想家们忽视了。 : 1次
伽里略的最光辉的业绩在于他在1609年第一个把新发明的望远镜对准天空，以证实行星是围绕太阳旋转，而不是围绕地球。 : 1次
政府究竟是以减少对技术的经费投入来增加对纯理论科学的经费投入，还是相反，这往往取决于把哪一方看作是驱动的力量。 : 1次
1995年全国硕士研究生入学统一考试英语试题 : 1次
1897 : 1次
1919 : 1次
discussion? : 1次
hydrogen : 1次
blocks : 1次
accepted, : 1次
stimulating : 1次
reflectinga : 1次
leisurelyb : 1次
wastedd. : 1次
debating, : 1次
opponent’sa : 1次
whatc : 1次
unlessd : 1次
relevant, : 1次
differenced : 1次
givea : 1次
manb : 1次
promotedc : 1次
prince : 1次
navigator, : 1次
checkingd : 1次
evenb : 1次
sympathyc : 1次
affectedd. : 1次
saya : 1次
trustingb : 1次
whomc : 1次
ared : 1次
unfamiliar. : 1次
othera : 1次
devotes : 1次
smallb : 1次
thanc : 1次
doesd. : 1次
defence-linkeda : 1次
alternately, : 1次
diminishingd : 1次
resources. : 1次
awakeneda : 1次
asb : 1次
thoughc : 1次
worshipped : 1次
old. : 1次
assurance : 1次
adjustment : 1次
newly-built : 1次
fatigued : 1次
wit’s : 1次
end. : 1次
rainfall; : 1次
flush : 1次
specially : 1次
dishes : 1次
supper. : 1次
regrets. : 1次
bookseller : 1次
dictionary. : 1次
climbing. : 1次
devoting : 1次
registering : 1次
supervisor : 1次
slightest : 1次
furious : 1次
dreaming, : 1次
well-understood, : 1次
restorative : 1次
大43家. : 1次
minneapolis, : 1次
rats, : 1次
blood, : 1次
self-protecting : 1次
crashed. : 1次
deprivation : 1次
enormously : 1次
lowers : 1次
services: : 1次
twenty-seven : 1次
fool : 1次
mercifully : 1次
advertised, : 1次
surest : 1次
persuades : 1次
informs. : 1次
distinctions. : 1次
persuade. : 1次
achieve, : 1次
shirt : 1次
subtly : 1次
wants. : 1次
advertising? : 1次
enhancing : 1次
deems : 1次
buyers’ : 1次
informs : 1次
growth: : 1次
measured. : 1次
promotion, : 1次
foreigner : 1次
determine, : 1次
signposts : 1次
landmarks : 1次
obstacles. : 1次
ends; : 1次
try, : 1次
accept. : 1次
grow, : 1次
unknown, : 1次
“fail” : 1次
curious? : 1次
indecisive? : 1次
timidity : 1次
hesitate, : 1次
challenge? : 1次
doubts, : 1次
making. : 1次
being” : 1次
2~3, : 1次
adaptation : 1次
promptness : 1次
self-adaptation : 1次
open-mindedness : 1次
avoidance : 1次
changing, : 1次
informational : 1次
complicated. : 1次
life’s : 1次
resolve. : 1次
reliable. : 1次
subconsciously : 1次
societal : 1次
overwhelming. : 1次
locations : 1次
machine-readable : 1次
shortly, : 1次
occurrence. : 1次
expertise : 1次
teleconferencing, : 1次
and/or : 1次
facilitated : 1次
complexity, : 1次
accurate, : 1次
“knowledge : 1次
power” : 1次
“it” : 1次
accumulating : 1次
soak : 1次
a-characteristics : 1次
“win : 1次
costs” : 1次
sporting : 1次
two-layer : 1次
a-types : 1次
fellows. : 1次
consequences: : 1次
pheidippides, : 1次
runner, : 1次
saying: : 1次
“rejoice, : 1次
conquer!” : 1次
disproportionate : 1次
examinations. : 1次
questionable, : 1次
b’s. : 1次
types, : 1次
preoccupation : 1次
lessened, : 1次
professions, : 1次
stock. : 1次
b’s : 1次
exanimations : 1次
candidates’ : 1次
dominates : 1次
remembering. : 1次
popularly : 1次
skillful : 1次
piano, : 1次
poem, : 1次
review) : 1次
forgotten; : 1次
instances : 1次
adaptive. : 1次
aspects, : 1次
fade. : 1次
aids : 1次
inferring : 1次
duration. : 1次
forgetting, : 1次
suffer, : 1次
(by : 1次
standards) : 1次
confusion. : 1次
(input) : 1次
(output). : 1次
inadaptive : 1次
forgetful : 1次
adaptability : 1次
forgot, : 1次
forgetfulness : 1次
selecting, : 1次
classifying, : 1次
assigning, : 1次
magazines, : 1次
attacking : 1次
divert : 1次
ill-informed : 1次
specified : 1次
valuable, : 1次
user. : 1次
performance: : 1次
appropriate. : 1次
validated : 1次
amount, : 1次
reliability, : 1次
appropriateness : 1次
interpreted. : 1次
developed, : 1次
qualitatively, : 1次
shortcomings : 1次
availability. : 1次
defined. : 1次
inequality, : 1次
youngster : 1次
“project : 1次
hope” : 1次
“education : 1次
modernization : 1次
country.” : 1次
1995年考研英语真题答案 : 1次
about或who : 1次
把标准化测试作为抨击目标是错误的，因为在抨击这类测试时，批评者不考虑其弊病来自人们对测试不甚了解或使用不当。 : 1次
这些预测在多大程度上为后来的表现所证实，这取决于所采用信息的数量、可靠性和适宜性，以及解释这些信息的技能和才智。 : 1次
因此，在某一特定情况下，究竟是采用测试还是其他种类的信息，或是两者同时使用，须凭有关相对效度的经验依据而定，也取决于诸如费用和有无来源等因素。 : 1次
一般地说，当所要测定的特征能很精确地界定时，测试最为有效；而当所要测定或预测的东西不能明确地界定时，测试的效果则最差。 : 1次
例如，测试并不弥补明显的社会不公；因此，它们不能说明一个物质条件差的年轻人，如果在较好的环境下成长的话，会有多大才干。 : 1次
1996年全国硕士研究生入学统一考试英语试题 : 1次
records? : 1次
sympathetically: : 1次
“are : 1次
right?” : 1次
preschool : 1次
closes : 1次
reports, : 1次
danger. : 1次
year's : 1次
attentiveness : 1次
englishman : 1次
goa : 1次
bearb : 1次
beingc : 1次
airplane : 1次
suchd : 1次
psychologicalb : 1次
plannedd : 1次
allowa : 1次
shareb : 1次
responsibilities; : 1次
allc : 1次
tightlyd : 1次
smokes : 1次
doesa : 1次
someb : 1次
youc : 1次
wholea, : 1次
likelyb : 1次
thosec : 1次
withd : 1次
ambition. : 1次
despitea : 1次
insect : 1次
understoodd. : 1次
1921 : 1次
einstein : 1次
honoreda : 1次
riseb : 1次
nazism : 1次
thenc : 1次
fromd : 1次
jew. : 1次
receiveda : 1次
spacecraftsb : 1次
whirling : 1次
mars : 1次
indicatec : 1次
thunderstorms : 1次
occurringd : 1次
equator : 1次
planet. : 1次
acrossa : 1次
handc : 1次
takingd : 1次
mercury’s : 1次
velocity : 1次
mucha : 1次
earth’sb : 1次
revolutions : 1次
oned. : 1次
ann : 1次
sometime : 1次
terrible. : 1次
qualify : 1次
molecules. : 1次
exhausting : 1次
refreshments. : 1次
intervals : 1次
travelling, : 1次
travellers’ : 1次
checks, : 1次
gracious : 1次
liquid, : 1次
purposely : 1次
inseparable : 1次
fact. : 1次
indistinctly : 1次
irrelevantly : 1次
calf : 1次
barn, : 1次
irish : 1次
milkmaid : 1次
salesgirls : 1次
accusing : 1次
forbidden : 1次
spring. : 1次
session : 1次
christmas : 1次
25th : 1次
jesus : 1次
christ. : 1次
accordance : 1次
valley, : 1次
hoped. : 1次
world-market : 1次
compounds : 1次
maintenance. : 1次
deficiency : 1次
大44家. : 1次
carbon, : 1次
hydrogen, : 1次
oxygen, : 1次
nitrogen. : 1次
differently, : 1次
nutritional : 1次
大50家, : 1次
“safe : 1次
side” : 1次
well-balanced : 1次
body’s : 1次
transferring : 1次
undertakes : 1次
supplying : 1次
furnishing : 1次
exceeding : 1次
tight-lipped : 1次
get.” : 1次
blueprints : 1次
menu, : 1次
offer, : 1次
references. : 1次
valuable. : 1次
interviews. : 1次
deciding : 1次
“wares” : 1次
orderly : 1次
hunt : 1次
ears : 1次
open, : 1次
mind: : 1次
get.”? : 1次
dreaming. : 1次
guideline : 1次
corporation’s : 1次
channels, : 1次
stations. : 1次
comedy, : 1次
drama, : 1次
affairs, : 1次
￡83 : 1次
household. : 1次
doubt. : 1次
publicly-funded : 1次
organization, : 1次
corporation, : 1次
keeping. : 1次
ain’t : 1次
broke, : 1次
“ain’t : 1次
broke,” : 1次
‘broke’, : 1次
money), : 1次
itv : 1次
thatcher : 1次
viewers’ : 1次
subscriptions : 1次
issue? : 1次
cooperations. : 1次
“royal : 1次
charter” : 1次
“capital” : 1次
“labour” : 1次
perfecting : 1次
bureaucracy : 1次
salaried : 1次
managers. : 1次
founders. : 1次
collectivism : 1次
state-owned : 1次
shareholders, : 1次
municipalities : 1次
trams : 1次
impersonal : 1次
landowners; : 1次
capital, : 1次
enriched : 1次
industrialization. : 1次
bournemouth : 1次
eastbourne : 1次
sprang : 1次
“comfortable” : 1次
dividends : 1次
“shareholding” : 1次
victorians : 1次
“shareholders” : 1次
shares, : 1次
demands, : 1次
patriarchal : 1次
trades, : 1次
lockout : 1次
negotiation. : 1次
lacked : 1次
taxpayers : 1次
steamboat : 1次
weaving : 1次
machine? : 1次
schools: : 1次
technology; : 1次
inventors; : 1次
nonverbal, : 1次
technological. : 1次
schools? : 1次
mechanics, : 1次
arithmetic : 1次
geometry : 1次
trigonometry. : 1次
1853 : 1次
reported, : 1次
workman.” : 1次
“premium” : 1次
preceded : 1次
approach, : 1次
medals, : 1次
flocked : 1次
beneficence : 1次
advance. : 1次
innovation, : 1次
eugene : 1次
ferguson : 1次
unambiguous : 1次
descriptions: : 1次
visual, : 1次
process... : 1次
inventor... : 1次
manipulate : 1次
exist.” : 1次
fulton : 1次
levers, : 1次
screws, : 1次
wedges, : 1次
wheels, : 1次
etc., : 1次
attitudes, : 1次
interacted : 1次
mainland, : 1次
emulation. : 1次
imitation. : 1次
mechanics : 1次
inventive : 1次
outpouring : 1次
rumor : 1次
publisher’s : 1次
pipelines. : 1次
unenlightened : 1次
cosmology, : 1次
geology, : 1次
consistent, : 1次
creationism, : 1次
time” : 1次
classrooms : 1次
non-fundamentalist : 1次
religion. : 1次
chapters : 1次
criticisms : 1次
chapters, : 1次
gloves : 1次
beating. : 1次
tactics, : 1次
creationists, : 1次
deception : 1次
distortion : 1次
surprise. : 1次
motivation : 1次
kitcher : 1次
philosopher, : 1次
chapter : 1次
jacket : 1次
gould : 1次
itself.” : 1次
“creationism” : 1次
evolutionists : 1次
non-specialists : 1次
digest : 1次
editorial : 1次
self-accelerating. : 1次
some, : 1次
preconception : 1次
authority, : 1次
unavoidable; : 1次
detail. : 1次
functional : 1次
funds. : 1次
praisable : 1次
“good” : 1次
“bad” : 1次
determination : 1次
elegance. : 1次
universal.” : 1次
1996年考研英语真题答案 : 1次
在这些原因中，有些完全是自然而然地来自社会需求；另一些则是由于科学在一定程度上自我加速而产生某些特定发展的必然结果。 : 1次
这种趋势始于第二次世界大战期间，当时一些国家的政府得出结论：政府要向科研机构提出的具体要求通常是无法详尽预见的。 : 1次
给某些与当前目标无关但将来可能产生影响的科研以支持，看来通常能有效地解决这个问题。 : 1次
然而，世界就是如此，完美的体系一般而言是无法解决世上某些更加引人入胜的课题的。 : 1次
同过去一样，将来必然会出现新的思维方式和新的思维对象，给完美以新的标准。 : 1次
attaching : 1次
drinks. : 1次
exercising : 1次
swim. : 1次
exhaust : 1次
student, : 1次
badminton : 1次
exams. : 1次
1997年全国硕士研究生入学统一考试英语试题 : 1次
penniless : 1次
aluminum : 1次
elements, : 1次
brother, : 1次
picnic, : 1次
un, : 1次
astronomy, : 1次
inaccurate. : 1次
reconciled : 1次
countrymen. : 1次
takenb : 1次
whichc : 1次
sawd : 1次
green’s : 1次
overa : 1次
